company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
PRINCIPALS CONSULTING LIMITED,13846381,Active,Private limited company,,13/01/2022,70229,Church Farm Main Street Willey Rugby CV23 0SH
ECOINOMY LTD,13847478,Active,Private limited company,,13/01/2022,62090,Chantry House 10a High Street Billericay CM12 9BQ
ASHTON NOVELLA LTD,13845986,Active,Private limited company,,13/01/2022,32500,Challenge House Somerton & Co 616 Mitcham Road Croydon CR0 3AA
SEATS GROUP LIMITED,13845953,Active,Private limited company,,13/01/2022,49320,Chad Cottage Buttermilk Lane Churchdown Gloucester GL3 2JA
MHEDGES CONSULTING LTD,13845635,Active,Private limited company,,13/01/2022,70229,Carpenter Court 1 Maple Road Bramhall Stockport SK7 2DH
MB PROPERTY GROUP LTD,13847307,Active,Private limited company,,13/01/2022,68209,Cambridge House 27 Cambridge Park Wanstead E11 2PU
DUMBLEDORE VETS LIMITED,13847304,Active,Private limited company,,13/01/2022,75000,Calyx House South Road Taunton TA1 3DU
VARCO ACQUISITION COMPANY LTD,13847510,Active,Private limited company,,13/01/2022,96090,"C/O Watson Farley & Williams Llp, 15 Appold Street London EC2A 2HB"
SOLUTIONS FOCUSED COACHING LTD,13845927,Active,Private limited company,,13/01/2022,94120,"C/O Parkins Accountants Moor Park House, Bawtry Road Rotherham S66 2BL"
32 WESTBY ROAD (FREEHOLD) LIMITED,13845982,Active,Private limited company,,13/01/2022,98000,C/O Ellis Jones Solicitors Llp 302 Charminster Road Bournemouth BH8 9RU
MINI MOXONS CIC,13845757,Active,Private limited by guarantee without share capital,,13/01/2022,1430,"C/O Does Liverpool 1st Floor, The Tapestry 68-76 Kempston Street Liverpool L3 8HL"
A & F ENTERPRISES GROUP LTD,13846062,Active,Private limited company,,13/01/2022,64209,C/O Ams Corporate Floor 2 9 Portland Street Manchester M1 3BE
P&C LEYTON LIMITED,13847131,Active,Private limited company,,13/01/2022,56102,"C/O  Tax Experts.London, 100 Palmerston Road London E17 6PZ"
POOLIE TIME ECO CIC,13845967,Active,Private limited by guarantee without share capital,,13/01/2022,88990,Burbank Community Centre Burbank Street Hartlepool TS24 7LA
PMKB PROPERTIES LIMITED,13847626,Active,Private limited company,,13/01/2022,68209,Brook House Moss Grove Kingswinford DY6 9HS
SMUDGED LTD,13847362,Active,Private limited company,,13/01/2022,73110 74100,Britannia House Caerphilly Business Park Van Road Caerphilly CF83 3GG
THRIVE SOCIAL LTD,13847607,Active,Private limited company,,13/01/2022,88990,Bramhall House 14 Ack Lane East Bramhall Stockport SK7 2BY
EMPTY SPACES STUDIO LTD,13847420,Active,Private limited company,,13/01/2022,74100,Apartment 104 Horizons Tower 1 Yabsley Street London E14 9RG
ACCOUNTANT 4 ACCOUNTANTS LTD,13845669,Active,Private limited company,,13/01/2022,69201,Annexe G Oaktree House 408 Oakwood Lane Leeds LS8 3LG
NIBD DEVELOPMENTS LTD,13847427,Active,Private limited company,,13/01/2022,41100 68100 68209,Amber Court William Armstrong Drive Newcastle Business Park Newcastle Upon Tyne NE4 7YA
EXCELLENT SERVICES LONDON LTD,13846979,Active,Private limited company,,13/01/2022,78200,97 Green Street London E7 8JF
HRP PROPERTIES LTD,13845613,Active,Private limited company,,13/01/2022,68100 68209 68320,96 The Grove Marton-In-Cleveland Middlesbrough TS7 8AP
AZAD GROUP LIMITED,13847459,Active,Private limited company,,13/01/2022,56290,96 The Fairway Banbury OX16 0RB
INTEGRITY ASSETS LTD,13847267,Active,Private limited company,,13/01/2022,66300,95 Tabernacle Street London EC2A 4BA
MK PARTS SUPPLIER LTD,13847082,Active,Private limited company,,13/01/2022,45320,95 Lowdell Close Yiewsley West Drayton UB7 8BA
LIVE INNOVATION LTD,13845761,Active,Private limited company,,13/01/2022,62030 68310 73200,95 High Street Office B Great Missenden HP16 0AL
CHEAP HOTEL SKATE SHOP LIMITED,13847431,Active,Private limited company,,13/01/2022,47640,93 Kimberley Avenue London SE15 3XD
AEGON SOLUTIONS LTD,13847295,Active,Private limited company,,13/01/2022,62020 70229 82990,9 Norton Avenue Plymouth PL4 7PE
MAJESTIC SBP LIMITED,13845661,Active,Private limited company,,13/01/2022,64203,9 Lichfield Street Wolverhampton WV1 1EA
BEBE CAMION LTD,13846969,Active,Private limited company,,13/01/2022,52103,9 Jubilee Avenue Normanton WF6 1DW
HANDY4CANDY LIMITED,13847453,Active,Private limited company,,13/01/2022,56103,9 Denbigh Road Tunbridge Wells TN4 9HS
THE PRU C ACC LTD,13847048,Active,Private limited company,,13/01/2022,96090,88 Tredegar Road London E3 2EP
ISIDOR REPAIRS LIMITED,13847272,Active,Private limited company,,13/01/2022,33190,88 Drapers Fields Coventry CV1 4RD
JACKCO GROUP INTERNATIONAL LIMITED,13847081,Active,Private limited company,,13/01/2022,47910 62090,86-90 Paul Street London EC2A 4NE
RSHELLE LTD,13847063,Active,Private limited company,,13/01/2022,47770,86-90 Paul Street London EC2A 4NE
SRS SALES LTD,13846198,Active,Private limited company,,13/01/2022,47910,86-90 Paul Street London EC2A 4NE
M@M HANDYMAN AND BRICKWORK SERVICES LIMITED,13846205,Active,Private limited company,,13/01/2022,23320,86-90 Paul Street London EC2A 4NE
CUTS HEAL LIMITED,13846187,Active,Private limited company,,13/01/2022,47910,86-90 Paul Street London EC2A 4NE
MOBIUS INC. LIMITED,13845709,Active,Private limited company,,13/01/2022,74901,86-90 Paul Street 3rd Floor London EC2A 4NE
PERFECT FIT SECURITY LIMITED,13846934,Active,Private limited company,,13/01/2022,80100,83 High Street Chalvey Slough SL1 2TW
GLOW TRAINING LTD,13846740,Active,Private limited company,,13/01/2022,82990,82 Rucklers Lane Kings Langley WD4 8AY
PAPAG CLEANING SERVICES LTD,13846303,Active,Private limited company,,13/01/2022,81210 81221 81222,8 The Broadway Woking GU21 5AP
SQUARED SOURCING LTD,13845800,Active,Private limited company,,13/01/2022,68209 68310 68320,8 Stirling Wood Close Huddersfield HD3 3HT
SIMPLE START FASHION LTD,13845741,Active,Private limited company,,13/01/2022,47710,8 Spur Road Cosham Portsmouth PO6 3EB
ALL ABOUT MUGS LTD,13847313,Active,Private limited company,,13/01/2022,47910,8 Pansy Street Kirkdale Liverpool L5 7RS
OLIVIA LTD,13846530,Active,Private limited company,,13/01/2022,98000,8 Evington Flats 2 Cadogan Road Cromer NR27 9HT
LYMAN MCCLUREY DEVELOPMENTS LTD,13846921,Active,Private limited company,,13/01/2022,41100,8 Bluebell Walk Witham St. Hughs Lincoln LN6 9WN
ADMIN HQ LTD,13846717,Active,Private limited company,,13/01/2022,82110 82190,8 Abbey Green Bath BA1 1NW
ZIZI FOODS LTD,13847269,Active,Private limited company,,13/01/2022,56102,793 London Road Hounslow TW3 1RS
ELLIESCAFE22 LTD,13847346,Active,Private limited company,,13/01/2022,56102,77 Lisburn Lane Liverpool L13 9AF
PEARL RENEWABLE LTD,13846830,Active,Private limited company,,13/01/2022,38220,74a High Street Wanstead London E11 2RJ
SHORE GROUP LTD,13846761,Active,Private limited company,,13/01/2022,41100,73a Fore Street Chudleigh Newton Abbot TQ13 0HT
WOKE BEAR CONSULT LIMITED,13846107,Active,Private limited company,,13/01/2022,70229,724 Oldham Road Failsworth Manchester M35 9FD
LOTUS HOMES DECOR LTD,13847473,Active,Private limited company,,13/01/2022,47190,72 The Manor Drive Worcester Park KT4 7LL
SANDY PAD'S LTD,13846948,Active,Private limited company,,13/01/2022,98000,72 Queen Street Rhyl LL18 1SB
FEHER W LIMITED,13847166,Active,Private limited company,,13/01/2022,64305,72 Beaumaris Way Grove Park Blackwood NP12 1DE
LOSREX LTD,13846431,Active,Private limited company,,13/01/2022,46180 46760,71-75 Shelton Street Covent Garden London WC2H 9JQ
INFINITY WAREHOUSING & LOGISTICS LTD,13847257,Active,Private limited company,,13/01/2022,52103 52243,71-75 Shelton Street Covent Garden London WC2H 9JQ
TRANS 2000 LIMITED,13847319,Active,Private limited company,,13/01/2022,49410,71-75 Shelton Street Covent Garden London WC2H 9JQ
CAGMILITARIA LTD,13846565,Active,Private limited company,,13/01/2022,47791 47799,71-75 Shelton Street Covent Garden London WC2H 9JQ
NARROWBRIDGE LIMITED,13846567,Active,Private limited company,,13/01/2022,64303 69109 70229 74909,71-75 Shelton Street Covent Garden London WC2H 9JQ
TICS TECHNOLOGY LIMITED,13846816,Active,Private limited company,,13/01/2022,27510 27520 46439 46900,71-75 Shelton Street Covent Garden London WC2H 9JQ
ATAKTON LTD,13847610,Active,Private limited company,,13/01/2022,62020 70229 74100 90030,71-75 Shelton Street Covent Garden London WC2H 9JQ
BGD TECHNOLOGIES (UK) LIMITED,13846263,Active,Private limited company,,13/01/2022,47190 47910 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
HSAR LIMITED,13845639,Active,Private limited company,,13/01/2022,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
MOUAD LTD,13845828,Active,Private limited company,,13/01/2022,47710,71-75 Shelton Street Covent Garden London WC2H 9JQ
CYBERNITE TECHNOLOGIES LTD,13845831,Active,Private limited company,,13/01/2022,62012 62020 62090 63110,71-75 Shelton Street Covent Garden London WC2H 9JQ
