company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
AION COMMUNICATIONS LTD,13846365,Active,Private limited company,,2022-01-13,61900,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANIJIE GLOBAL LTD,13846367,Active,Private limited company,,2022-01-13,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
SEMPER EXCELSIUS LTD,13846366,Active,Private limited company,,2022-01-13,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
ANALYTICR LTD,13846386,Active,Private limited company,,2022-01-13,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
MINIMALIST GOLF LTD,13846545,Active,Private limited company,,2022-01-13,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
VIRTUAL GREEN ENERGY LIMITED,13845711,Active,Private limited company,,2022-01-13,35110 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
BERNASHI LTD,13845868,Active,Private limited company,,2022-01-13,45400 46760 47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
COMPLEX ADAPTIVE SOFTWARE SYSTEMS LTD,13845881,Active,Private limited company,,2022-01-13,58290 62011 62012 72190,71-75 Shelton Street Covent Garden London WC2H 9JQ
CHANGING LIVES SUPPORT LTD,13845879,Active,Private limited by guarantee without share capital,,2022-01-13,86900 88990,71-75 Shelton Street Covent Garden London WC2H 9JQ
ONE LOOKOUT LTD,13846068,Active,Private limited company,,2022-01-13,58110 58210 58290 62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
INFINITE SOLUTIONS PARTNERS LTD,13846613,Active,Private limited company,,2022-01-13,64209,71-75 Shelton Street Covent Garden London WC2H 9JQ
CORNERSTONE WEALTH CAPITAL LTD,13844971,Active,Private limited company,,2022-01-12,64303,71-75 Shelton Street Covent Garden London WC2H 9JQ
MEGASERVE TECHNOLOGIES LTD,13845126,Active,Private limited company,,2022-01-12,62020,"1st Formations Ltd, 71-75 Shelton Street London WC2H 9JQ"
MERITA LTD,13845680,Active,Private limited company,,2022-01-13,47190 47770 47990 62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
LOSOMO STUDIO LIMITED,13845672,Active,Private limited company,,2022-01-13,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
ADMEP LTD,13845675,Active,Private limited company,,2022-01-13,62012 62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
NEXT STEP TECH SERVICES LTD,13845676,Active,Private limited company,,2022-01-13,62020 62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
XMPLAR LTD,13845806,Active,Private limited company,,2022-01-13,71200 72200 74209,71-75 Shelton Street Covent Garden London WC2H 9JQ
COKOMIKS LTD,13845917,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
HSH ACCOUNTING LIMITED,13846355,Active,Private limited company,,2022-01-13,69201 69202,71-75 Shelton Street Covent Garden London WC2H 9JQ
BEAUTIFUL DREAM LTD,13846629,Active,Private limited company,,2022-01-13,32990,71-75 Shelton Street Covent Garden London WC2H 9JQ
CLIFTONS GROUP LIMITED,13846640,Active,Private limited company,,2022-01-13,78109,71-75 Shelton Street Covent Garden London WC2H 9JQ
EXCELLENCE THEATRE LTD,13844571,Active,Private limited by guarantee without share capital,,2022-01-12,90010 90020 90030,71-75 Shelton Street Covent Garden London WC2H 9JQ
PRETILITY LTD,13844771,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
CRM CAPITAL LTD,13845183,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
KANWEAR LTD,13846236,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
D & H PROPERTIES (LONDON) LIMITED,13846504,Active,Private limited company,,2022-01-13,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
CLARITY COURIER LIMITED,13846497,Active,Private limited company,,2022-01-13,49410,71-75 Shelton Street Covent Garden London WC2H 9JQ
DUXHOODIES LTD,13846507,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ULRICK AGENCY LTD,13847279,Active,Private limited company,,2022-01-13,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
QUANTUM REACH PROPERTIES LTD,13848005,Active,Private limited company,,2022-01-13,41100 68100 68320,71-75 Shelton Street London WC2H 9JQ
TAMEER TRADERS LTD.,13836826,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ERLANG NETWORKS LTD,13838714,Active,Private limited company,,2022-01-10,61900 62020 62090 71122,71-75 Shelton Street Covent Garden London WC2H 9JQ
ACES ASSETS LTD,13838869,Active,Private limited company,,2022-01-10,73110,71-75 Shelton Street Covent Garden London WC2H 9JQ
VEPKO LTD,13836866,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
HARRIES INFORMATION TECHNOLOGY LTD,13838659,Active,Private limited company,,2022-01-10,63120,71-75 Shelton Street Covent Garden London WC2H 9JQ
CRAIGENDORAN LIMITED,13838013,Active,Private limited company,,2022-01-10,64301,71-75 Shelton Street Covent Garden London WC2H 9JQ
YUNIKARN LTD,13838019,Active,Private limited company,,2022-01-10,58110 58290 59112 70229,71-75 Shelton Street Covent Garden London WC2H 9JQ
EASY BUSINESS LIMITED,13838477,Active,Private limited company,,2022-01-10,47410 58210,71-75 Shelton Street London WC2H 9JQ
THE BLOISI PROPERTY GROUP LTD,13836922,Active,Private limited company,,2022-01-10,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
ICELDA PROPERTIES LTD,13837534,Active,Private limited company,,2022-01-10,68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
INNOVA EFFICIENCY SOLUTIONS LTD,13838801,Active,Private limited company,,2022-01-10,62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
SLAPAGE HOLDINGS LIMITED,13836797,Active,Private limited company,,2022-01-10,63120,71-75 Shelton Street Covent Garden London WC2H 9JQ
